,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0[158],0.718,0.022,0.676,0.758,0.005,0.001,24.052,80.396,1.113
u0[159],0.442,0.024,0.397,0.488,0.004,0.001,29.483,110.703,1.092
u0[160],0.225,0.024,0.18,0.271,0.005,0.001,28.223,117.629,1.094
u0[161],0.082,0.047,-0.01,0.166,0.004,0.001,168.469,1166.791,1.019
u0[162],-0.138,0.026,-0.187,-0.09,0.004,0.001,35.327,140.731,1.077
u0[163],-0.078,0.024,-0.125,-0.035,0.005,0.001,27.532,112.356,1.096
u0[164],-0.051,0.032,-0.114,0.006,0.005,0.001,47.607,425.321,1.055
u0[165],-0.265,0.023,-0.309,-0.225,0.005,0.001,25.045,95.694,1.109
u0[166],0.406,0.025,0.362,0.455,0.005,0.001,30.045,150.823,1.087
u0[167],0.242,0.024,0.198,0.288,0.005,0.001,28.4,113.034,1.096
u0[168],-0.103,0.024,-0.148,-0.058,0.005,0.001,28.149,142.139,1.097
u0[169],0.067,0.024,0.026,0.115,0.005,0.001,28.988,130.64,1.093
u0[170],0.048,0.025,0.001,0.092,0.005,0.001,28.753,117.868,1.092
u0[171],-0.041,0.025,-0.086,0.008,0.005,0.001,30.808,243.168,1.087
u0[172],0.04,0.025,-0.008,0.084,0.005,0.001,28.522,112.301,1.092
u0[173],-0.241,0.026,-0.288,-0.191,0.005,0.001,31.944,149.821,1.083
u0[174],0.307,0.025,0.26,0.352,0.004,0.001,30.684,139.991,1.087
u0[175],-0.186,0.024,-0.23,-0.14,0.004,0.001,29.502,114.017,1.092
u0[176],-0.005,0.025,-0.051,0.043,0.004,0.001,32.559,115.732,1.082
u0[177],-0.065,0.044,-0.145,0.021,0.004,0.001,112.555,1453.513,1.026
u0[178],0.319,0.024,0.273,0.363,0.005,0.001,27.571,102.392,1.099
