,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[122],-1.276,0.107,-1.472,-1.073,0.014,0.004,57.62,293.529,1.075
u0_raw[123],-0.797,0.115,-1.008,-0.578,0.013,0.003,78.067,659.842,1.046
u0_raw[124],1.029,0.114,0.823,1.251,0.015,0.005,56.591,232.489,1.067
u0_raw[125],-0.394,0.096,-0.582,-0.224,0.013,0.003,55.194,358.464,1.063
u0_raw[126],0.044,0.099,-0.146,0.225,0.013,0.004,56.94,257.064,1.061
u0_raw[127],1.715,0.142,1.454,1.979,0.018,0.006,63.814,224.816,1.061
u0_raw[128],1.179,0.121,0.951,1.403,0.016,0.006,58.842,223.517,1.065
u0_raw[129],1.497,0.132,1.246,1.74,0.016,0.006,63.784,209.525,1.062
u0_raw[130],-0.238,0.414,-0.998,0.563,0.005,0.005,7592.645,5532.903,1.001
u0_raw[131],0.136,0.609,-1.063,1.246,0.007,0.007,8306.165,6001.917,1.001
u0_raw[132],2.179,0.163,1.865,2.468,0.019,0.008,70.805,187.956,1.059
u0_raw[133],1.504,0.138,1.248,1.755,0.016,0.006,71.925,197.75,1.057
u0_raw[134],-0.386,0.095,-0.561,-0.205,0.013,0.003,55.377,390.822,1.066
u0_raw[135],1.57,0.135,1.333,1.831,0.017,0.006,63.689,211.872,1.063
u0_raw[136],-0.114,0.084,-0.278,0.038,0.014,0.004,38.16,160.772,1.088
u0_raw[137],-1.604,0.131,-1.863,-1.372,0.013,0.005,101.464,349.998,1.055
u0_raw[138],-0.246,0.157,-0.542,0.05,0.014,0.002,117.124,1182.371,1.03
u0_raw[139],2.201,0.163,1.899,2.496,0.019,0.008,69.62,134.506,1.059
u0_raw[140],-0.919,0.346,-1.562,-0.263,0.008,0.004,1985.644,3524.525,1.003
u0_raw[141],-0.069,0.107,-0.27,0.127,0.013,0.004,71.291,376.906,1.049
u0_raw[142],1.068,0.115,0.859,1.282,0.015,0.005,56.73,211.519,1.068
u0_raw[143],1.896,0.149,1.614,2.164,0.018,0.007,65.684,185.799,1.06
u0_raw[144],-0.726,0.105,-0.916,-0.525,0.014,0.003,58.207,462.552,1.061
u0_raw[145],-1.018,0.108,-1.224,-0.819,0.014,0.004,57.797,394.148,1.066
u0_raw[146],-0.004,0.094,-0.184,0.17,0.013,0.004,48.797,271.755,1.069
u0_raw[147],1.38,0.121,1.15,1.599,0.016,0.006,55.029,163.91,1.072
u0_raw[148],-0.62,0.103,-0.8,-0.414,0.013,0.003,64.512,485.164,1.059
u0_raw[149],0.052,0.097,-0.135,0.226,0.013,0.004,55.896,360.531,1.062
u0_raw[150],-0.397,0.089,-0.559,-0.228,0.013,0.004,44.962,144.742,1.077
u0_raw[151],-0.397,0.096,-0.582,-0.223,0.013,0.003,51.359,354.608,1.065
u0_raw[152],0.51,0.1,0.326,0.702,0.014,0.004,52.988,234.571,1.07
u0_raw[153],0.986,0.611,-0.128,2.168,0.006,0.007,10163.448,5885.489,1.001
u0_raw[154],-1.405,0.113,-1.621,-1.202,0.014,0.005,70.229,293.11,1.07
u0_raw[155],-1.048,0.109,-1.258,-0.845,0.013,0.004,73.98,388.894,1.062
u0_raw[156],-0.096,0.095,-0.275,0.08,0.013,0.004,49.971,195.379,1.068
u0_raw[157],-1.143,0.11,-1.35,-0.939,0.014,0.004,60.096,373.745,1.067
u0_raw[158],3.055,0.202,2.678,3.423,0.024,0.011,73.769,112.421,1.057
u0_raw[159],1.885,0.15,1.614,2.164,0.018,0.007,69.804,199.285,1.06
u0_raw[160],0.966,0.113,0.762,1.181,0.015,0.005,59.927,224.616,1.064
u0_raw[161],0.356,0.192,-0.006,0.718,0.009,0.003,447.96,1585.285,1.013
u0_raw[162],-0.575,0.105,-0.779,-0.383,0.014,0.003,57.75,485.953,1.06
u0_raw[163],-0.317,0.095,-0.491,-0.136,0.014,0.003,48.269,302.123,1.071
u0_raw[164],-0.206,0.13,-0.448,0.035,0.012,0.002,115.643,984.518,1.031
u0_raw[165],-1.113,0.104,-1.309,-0.923,0.013,0.004,65.161,320.021,1.071
u0_raw[166],1.734,0.145,1.451,1.986,0.018,0.007,69.071,181.078,1.059
u0_raw[167],1.039,0.115,0.826,1.249,0.015,0.005,60.371,300.282,1.065
u0_raw[168],-0.426,0.096,-0.602,-0.241,0.014,0.003,47.807,376.639,1.07
u0_raw[169],0.298,0.097,0.115,0.478,0.014,0.005,50.452,267.543,1.069
u0_raw[170],0.212,0.099,0.02,0.393,0.013,0.004,58.695,215.819,1.062
u0_raw[171],-0.162,0.098,-0.35,0.01,0.013,0.004,56.209,272.736,1.06
u0_raw[172],0.182,0.097,0.004,0.367,0.013,0.004,55.037,312.442,1.066
u0_raw[173],-1.01,0.114,-1.234,-0.812,0.013,0.004,72.191,503.197,1.057
u0_raw[174],1.313,0.127,1.083,1.55,0.016,0.006,59.282,227.861,1.063
u0_raw[175],-0.775,0.102,-0.97,-0.588,0.013,0.003,58.905,402.432,1.066
u0_raw[176],-0.01,0.099,-0.19,0.175,0.014,0.004,53.761,321.655,1.063
u0_raw[177],-0.264,0.184,-0.603,0.09,0.01,0.002,321.663,2437.108,1.017
u0_raw[178],1.365,0.127,1.127,1.596,0.016,0.006,62.687,212.2,1.063
sigma_u0,0.237,0.014,0.211,0.262,0.001,0.001,92.693,60.732,1.051
sigma_eps,0.256,0.001,0.255,0.258,0.0,0.0,7712.644,6121.818,1.0
u0[0],-0.174,0.023,-0.217,-0.133,0.003,0.001,52.931,323.417,1.065
u0[1],-0.05,0.02,-0.088,-0.012,0.003,0.001,42.109,136.551,1.083
u0[2],-0.218,0.022,-0.258,-0.175,0.003,0.001,48.437,230.306,1.071
u0[3],-0.265,0.024,-0.308,-0.219,0.003,0.001,54.685,418.47,1.061
u0[4],-0.41,0.022,-0.452,-0.368,0.003,0.001,47.945,245.857,1.072
u0[5],0.208,0.022,0.167,0.25,0.003,0.001,42.776,223.722,1.075
u0[6],0.261,0.037,0.192,0.331,0.003,0.001,153.966,1590.61,1.024
u0[7],0.052,0.023,0.011,0.095,0.003,0.001,49.401,310.444,1.069
u0[8],0.185,0.022,0.144,0.226,0.003,0.001,51.828,262.495,1.067
u0[9],-0.099,0.054,-0.201,0.003,0.003,0.001,452.442,3708.553,1.014
u0[10],-0.146,0.023,-0.19,-0.103,0.003,0.001,56.141,320.468,1.061
u0[11],-0.039,0.022,-0.082,0.002,0.003,0.001,47.577,140.273,1.069
u0[12],0.094,0.022,0.053,0.135,0.003,0.001,46.586,229.702,1.071
u0[13],0.457,0.037,0.389,0.527,0.003,0.001,134.056,1066.781,1.025
u0[14],0.024,0.023,-0.018,0.07,0.003,0.001,54.979,240.922,1.061
u0[15],-0.42,0.024,-0.465,-0.376,0.003,0.001,62.751,302.134,1.054
u0[16],-0.009,0.026,-0.059,0.038,0.003,0.001,64.809,477.384,1.052
u0[17],0.135,0.022,0.095,0.179,0.003,0.001,52.431,249.832,1.066
u0[18],-0.338,0.129,-0.576,-0.093,0.002,0.002,4171.909,5325.319,1.002
u0[19],-0.218,0.023,-0.26,-0.175,0.003,0.001,51.66,350.831,1.066
u0[20],-0.109,0.022,-0.152,-0.068,0.003,0.001,48.802,336.272,1.07
u0[21],-0.023,0.023,-0.065,0.021,0.003,0.001,51.079,366.46,1.065
u0[22],0.209,0.022,0.166,0.248,0.003,0.001,47.718,152.689,1.07
u0[23],-0.25,0.023,-0.293,-0.208,0.003,0.001,55.303,261.249,1.063
u0[24],-0.407,0.022,-0.447,-0.364,0.003,0.001,50.743,307.017,1.069
u0[25],0.275,0.022,0.232,0.316,0.003,0.001,49.182,280.952,1.069
u0[26],0.307,0.023,0.266,0.351,0.003,0.001,49.391,211.346,1.068
u0[27],-0.134,0.031,-0.193,-0.076,0.003,0.001,110.325,872.296,1.033
u0[28],-0.034,0.022,-0.074,0.01,0.003,0.001,52.182,278.164,1.066
u0[29],0.147,0.023,0.103,0.188,0.003,0.001,50.517,236.96,1.064
u0[30],0.211,0.022,0.171,0.254,0.003,0.001,50.165,323.979,1.068
u0[31],0.138,0.024,0.095,0.185,0.003,0.001,56.57,313.455,1.06
u0[32],-0.055,0.024,-0.1,-0.011,0.003,0.001,57.08,275.802,1.059
u0[33],-0.186,0.022,-0.229,-0.146,0.003,0.001,51.24,243.832,1.067
u0[34],0.104,0.023,0.061,0.146,0.003,0.001,50.896,253.999,1.066
u0[35],0.074,0.02,0.037,0.111,0.003,0.001,38.171,129.618,1.089
u0[36],-0.191,0.023,-0.233,-0.148,0.003,0.001,53.683,240.97,1.063
u0[37],0.216,0.022,0.174,0.259,0.003,0.001,50.263,146.111,1.068
u0[38],-0.163,0.023,-0.207,-0.121,0.003,0.001,54.288,175.511,1.062
u0[39],0.007,0.023,-0.038,0.048,0.003,0.001,54.648,252.66,1.063
u0[40],-0.245,0.105,-0.443,-0.048,0.001,0.001,6434.822,5666.896,1.002
u0[41],-0.051,0.025,-0.098,-0.003,0.003,0.001,59.95,416.631,1.055
u0[42],0.063,0.022,0.018,0.102,0.003,0.001,51.092,305.462,1.067
u0[43],-0.069,0.023,-0.115,-0.027,0.003,0.001,56.516,348.334,1.06
u0[44],0.078,0.022,0.039,0.122,0.003,0.001,54.448,227.529,1.064
u0[45],-0.149,0.024,-0.193,-0.102,0.003,0.001,57.74,353.821,1.06
u0[46],-0.414,0.023,-0.457,-0.371,0.003,0.001,62.271,316.435,1.058
u0[47],0.064,0.023,0.022,0.107,0.003,0.001,57.676,181.628,1.062
u0[48],-0.412,0.023,-0.457,-0.37,0.003,0.001,63.602,383.67,1.057
u0[49],0.417,0.024,0.373,0.461,0.003,0.001,61.034,374.202,1.058
u0[50],-0.061,0.024,-0.105,-0.015,0.003,0.001,54.582,389.714,1.061
u0[51],-0.232,0.023,-0.275,-0.188,0.003,0.001,56.338,242.581,1.061
u0[52],-0.05,0.022,-0.092,-0.008,0.003,0.001,48.572,297.683,1.067
u0[53],0.02,0.023,-0.023,0.063,0.003,0.001,54.508,300.905,1.062
u0[54],0.057,0.034,-0.01,0.12,0.003,0.001,169.511,1061.623,1.027
u0[55],0.383,0.022,0.343,0.425,0.003,0.001,46.983,238.728,1.07
u0[56],-0.152,0.022,-0.194,-0.109,0.003,0.001,51.853,335.067,1.066
u0[57],0.319,0.023,0.276,0.36,0.003,0.001,52.031,237.946,1.064
u0[58],-0.44,0.146,-0.73,-0.177,0.002,0.002,6402.283,6100.507,1.0
u0[59],-0.06,0.023,-0.105,-0.019,0.003,0.001,51.242,261.332,1.067
u0[60],-0.021,0.023,-0.064,0.021,0.003,0.001,52.439,307.849,1.065
u0[61],-0.414,0.177,-0.749,-0.087,0.002,0.002,5266.608,5746.509,1.001
u0[62],-0.319,0.024,-0.365,-0.273,0.003,0.001,60.867,353.343,1.057
u0[63],-0.17,0.023,-0.21,-0.126,0.003,0.001,58.154,258.398,1.062
u0[64],-0.23,0.022,-0.274,-0.191,0.003,0.001,52.552,155.154,1.066
u0[65],-0.057,0.022,-0.097,-0.012,0.003,0.001,47.952,164.163,1.07
u0[66],0.211,0.023,0.17,0.256,0.003,0.001,51.124,379.952,1.065
u0[67],-0.124,0.024,-0.167,-0.077,0.003,0.001,61.717,371.156,1.056
u0[68],0.223,0.02,0.187,0.261,0.003,0.001,37.77,153.399,1.088
u0[69],-0.119,0.037,-0.188,-0.048,0.003,0.001,174.047,1441.183,1.023
u0[70],-0.419,0.022,-0.462,-0.378,0.003,0.001,48.626,203.487,1.07
u0[71],0.319,0.023,0.276,0.364,0.003,0.001,50.838,226.659,1.064
u0[72],-0.15,0.022,-0.191,-0.109,0.003,0.001,51.303,213.731,1.068
u0[73],-0.205,0.021,-0.246,-0.168,0.003,0.001,45.161,238.692,1.076
u0[74],-0.187,0.02,-0.223,-0.15,0.003,0.001,39.866,164.158,1.088
u0[75],0.122,0.03,0.066,0.178,0.003,0.001,95.412,756.637,1.037
u0[76],0.243,0.022,0.202,0.283,0.003,0.001,45.589,183.919,1.072
u0[77],-0.163,0.024,-0.207,-0.116,0.003,0.001,65.607,309.073,1.054
u0[78],0.004,0.024,-0.04,0.048,0.003,0.001,52.23,231.25,1.062
u0[79],0.12,0.023,0.077,0.164,0.003,0.001,58.925,291.207,1.06
u0[80],0.083,0.023,0.039,0.125,0.003,0.001,53.544,306.242,1.064
u0[81],0.014,0.023,-0.03,0.056,0.003,0.001,47.132,291.455,1.069
u0[82],-0.253,0.023,-0.295,-0.209,0.003,0.001,52.698,316.76,1.064
u0[83],-0.01,0.02,-0.044,0.03,0.003,0.001,39.289,115.546,1.088
u0[84],-0.056,0.02,-0.095,-0.021,0.003,0.001,38.518,146.312,1.089
u0[85],0.245,0.023,0.204,0.289,0.003,0.001,49.919,244.128,1.066
u0[86],-0.38,0.024,-0.425,-0.333,0.003,0.001,58.903,290.488,1.058
u0[87],-0.056,0.023,-0.099,-0.013,0.003,0.001,54.503,329.873,1.062
u0[88],-0.256,0.023,-0.301,-0.215,0.003,0.001,46.346,288.517,1.069
u0[89],0.159,0.023,0.117,0.203,0.003,0.001,53.866,310.428,1.063
u0[90],0.157,0.022,0.116,0.198,0.003,0.001,48.127,254.854,1.07
u0[91],0.134,0.023,0.091,0.179,0.003,0.001,57.723,354.736,1.061
u0[92],0.348,0.022,0.307,0.391,0.003,0.001,48.431,226.431,1.068
u0[93],0.095,0.043,0.015,0.177,0.002,0.001,400.36,2142.313,1.015
u0[94],-0.373,0.023,-0.413,-0.329,0.003,0.001,49.875,308.566,1.068
u0[95],-0.328,0.022,-0.368,-0.284,0.003,0.001,49.597,208.373,1.07
u0[96],0.332,0.022,0.292,0.374,0.003,0.001,45.276,211.363,1.072
u0[97],0.055,0.023,0.011,0.095,0.003,0.001,49.593,226.937,1.068
u0[98],0.1,0.022,0.057,0.14,0.003,0.001,45.394,224.975,1.072
u0[99],0.144,0.023,0.103,0.187,0.003,0.001,49.585,165.831,1.069
u0[100],-0.075,0.033,-0.138,-0.013,0.003,0.001,133.2,1011.927,1.031
u0[101],-0.076,0.024,-0.118,-0.031,0.003,0.001,57.48,271.744,1.058
u0[102],-0.242,0.024,-0.287,-0.196,0.003,0.001,66.901,262.755,1.053
u0[103],-0.034,0.02,-0.071,0.005,0.003,0.001,40.523,185.296,1.084
u0[104],-0.262,0.022,-0.303,-0.221,0.003,0.001,47.031,341.209,1.07
u0[105],-0.008,0.03,-0.063,0.048,0.003,0.001,74.399,805.885,1.042
u0[106],-0.447,0.032,-0.508,-0.389,0.003,0.001,125.962,866.79,1.031
u0[107],0.035,0.023,-0.009,0.077,0.003,0.001,53.082,224.168,1.066
u0[108],0.058,0.023,0.014,0.101,0.003,0.001,58.512,315.791,1.062
u0[109],-0.058,0.022,-0.1,-0.017,0.003,0.001,49.031,194.281,1.069
u0[110],0.384,0.02,0.346,0.422,0.003,0.001,43.501,191.096,1.082
u0[111],-0.195,0.026,-0.246,-0.149,0.003,0.001,65.725,470.568,1.051
u0[112],0.153,0.022,0.11,0.194,0.003,0.001,53.079,324.799,1.066
u0[113],0.186,0.022,0.146,0.231,0.003,0.001,51.411,287.172,1.068
u0[114],0.47,0.022,0.429,0.512,0.003,0.001,48.573,198.456,1.068
u0[115],0.042,0.022,0.001,0.083,0.003,0.001,49.581,197.672,1.068
u0[116],0.307,0.02,0.269,0.346,0.003,0.001,39.269,234.757,1.085
u0[117],0.114,0.023,0.071,0.156,0.003,0.001,46.112,192.131,1.072
u0[118],-0.181,0.023,-0.223,-0.138,0.003,0.001,53.523,325.249,1.064
u0[119],-0.225,0.022,-0.27,-0.185,0.003,0.001,50.174,154.032,1.068
u0[120],0.238,0.023,0.194,0.279,0.003,0.001,49.223,281.397,1.067
u0[121],-0.236,0.023,-0.278,-0.194,0.003,0.001,50.329,190.831,1.066
u0[122],-0.301,0.02,-0.339,-0.264,0.003,0.001,38.734,215.964,1.089
u0[123],-0.188,0.026,-0.235,-0.139,0.003,0.001,74.42,535.018,1.047
u0[124],0.243,0.022,0.202,0.285,0.003,0.001,46.52,250.391,1.072
u0[125],-0.093,0.022,-0.135,-0.052,0.003,0.001,54.471,282.963,1.064
