,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[58],-2.724,0.374,-3.416,-2.023,0.012,0.004,997.41,2423.286,1.003
u0_raw[59],-0.205,0.096,-0.386,-0.024,0.009,0.004,106.438,226.04,1.034
u0_raw[60],-0.072,0.097,-0.248,0.119,0.009,0.004,109.225,240.233,1.031
u0_raw[61],-2.6,0.41,-3.384,-1.835,0.012,0.005,1273.95,2432.073,1.003
u0_raw[62],-1.374,0.128,-1.627,-1.151,0.011,0.004,146.557,371.229,1.025
u0_raw[63],-0.73,0.107,-0.945,-0.54,0.009,0.004,139.068,340.397,1.028
u0_raw[64],-0.833,0.107,-1.027,-0.625,0.009,0.005,130.112,282.232,1.029
u0_raw[65],-0.21,0.097,-0.392,-0.028,0.009,0.004,108.265,272.985,1.032
u0_raw[66],0.972,0.116,0.756,1.191,0.011,0.004,111.384,237.921,1.035
u0_raw[67],-0.44,0.103,-0.63,-0.246,0.009,0.004,120.192,279.021,1.033
u0_raw[68],0.885,0.105,0.683,1.073,0.011,0.004,93.275,184.002,1.042
u0_raw[69],-0.063,0.161,-0.373,0.229,0.009,0.002,289.446,1451.331,1.014
u0_raw[70],-1.645,0.136,-1.896,-1.386,0.011,0.005,141.43,382.072,1.026
u0_raw[71],1.319,0.127,1.076,1.552,0.012,0.005,116.682,273.485,1.035
u0_raw[72],-0.79,0.109,-1.007,-0.598,0.009,0.004,136.948,246.556,1.026
u0_raw[73],-0.654,0.097,-0.849,-0.483,0.009,0.005,104.858,201.51,1.035
u0_raw[74],-0.84,0.099,-1.024,-0.651,0.01,0.005,107.064,201.996,1.034
u0_raw[75],0.477,0.124,0.254,0.717,0.01,0.003,154.763,449.351,1.023
u0_raw[76],0.97,0.117,0.757,1.194,0.011,0.004,110.835,282.542,1.035
u0_raw[77],-0.49,0.104,-0.686,-0.294,0.009,0.004,125.408,266.429,1.028
u0_raw[78],-0.032,0.102,-0.225,0.154,0.009,0.004,117.868,266.654,1.028
u0_raw[79],0.481,0.108,0.289,0.694,0.01,0.004,112.443,221.798,1.032
u0_raw[80],0.474,0.103,0.277,0.663,0.01,0.004,106.387,210.133,1.035
u0_raw[81],-0.012,0.096,-0.191,0.173,0.009,0.004,105.727,213.954,1.031
u0_raw[82],-0.912,0.109,-1.116,-0.708,0.01,0.005,130.549,276.99,1.029
u0_raw[83],-0.032,0.087,-0.188,0.137,0.009,0.005,84.239,144.715,1.043
u0_raw[84],-0.152,0.089,-0.318,0.015,0.009,0.005,88.578,143.416,1.04
u0_raw[85],1.152,0.122,0.93,1.386,0.012,0.005,111.601,271.92,1.036
u0_raw[86],-1.608,0.136,-1.873,-1.359,0.011,0.005,144.534,335.137,1.025
u0_raw[87],-0.253,0.099,-0.438,-0.069,0.009,0.004,115.734,230.56,1.03
u0_raw[88],-1.031,0.112,-1.25,-0.828,0.01,0.004,134.305,331.027,1.028
u0_raw[89],0.496,0.103,0.294,0.681,0.01,0.004,100.731,203.754,1.035
u0_raw[90],0.663,0.11,0.47,0.883,0.01,0.004,110.117,263.988,1.033
u0_raw[91],0.552,0.104,0.362,0.752,0.01,0.004,106.063,224.341,1.034
u0_raw[92],1.316,0.128,1.08,1.554,0.012,0.005,114.766,270.09,1.034
u0_raw[93],0.267,0.195,-0.091,0.634,0.009,0.003,472.608,1246.557,1.009
u0_raw[94],-1.458,0.127,-1.699,-1.223,0.011,0.005,136.116,312.701,1.028
u0_raw[95],-1.321,0.121,-1.544,-1.088,0.01,0.005,138.049,338.367,1.027
u0_raw[96],1.172,0.124,0.955,1.409,0.012,0.005,110.669,268.194,1.037
u0_raw[97],0.431,0.102,0.242,0.615,0.01,0.004,107.233,251.993,1.034
u0_raw[98],0.202,0.097,0.02,0.381,0.01,0.004,100.145,219.278,1.034
u0_raw[99],0.623,0.107,0.423,0.822,0.01,0.004,109.683,246.563,1.033
u0_raw[100],-0.326,0.148,-0.589,-0.039,0.009,0.003,289.093,1047.176,1.014
u0_raw[101],-0.28,0.1,-0.463,-0.086,0.01,0.004,109.69,231.498,1.033
u0_raw[102],-1.075,0.118,-1.295,-0.858,0.01,0.004,144.243,351.256,1.027
u0_raw[103],-0.073,0.09,-0.236,0.103,0.009,0.004,93.683,172.812,1.037
u0_raw[104],-1.08,0.113,-1.301,-0.875,0.01,0.005,135.216,366.847,1.028
u0_raw[105],-0.081,0.116,-0.285,0.145,0.009,0.003,159.951,332.577,1.023
u0_raw[106],-1.915,0.175,-2.247,-1.588,0.012,0.004,214.186,756.53,1.016
u0_raw[107],0.271,0.1,0.093,0.47,0.01,0.004,104.24,227.192,1.034
u0_raw[108],0.253,0.1,0.069,0.44,0.01,0.004,103.796,209.85,1.033
u0_raw[109],-0.223,0.098,-0.404,-0.036,0.009,0.004,108.359,221.979,1.032
u0_raw[110],1.611,0.135,1.366,1.864,0.013,0.006,108.095,249.152,1.039
u0_raw[111],-0.736,0.118,-0.954,-0.509,0.009,0.004,159.089,467.272,1.023
u0_raw[112],0.724,0.109,0.523,0.926,0.011,0.004,103.178,261.864,1.035
u0_raw[113],0.843,0.111,0.632,1.046,0.011,0.004,106.55,242.885,1.037
u0_raw[114],1.991,0.16,1.703,2.293,0.014,0.006,121.447,309.602,1.034
u0_raw[115],0.113,0.097,-0.058,0.302,0.01,0.004,103.287,202.397,1.033
u0_raw[116],1.178,0.118,0.957,1.399,0.012,0.005,103.757,260.645,1.039
u0_raw[117],0.629,0.107,0.427,0.826,0.011,0.004,102.599,197.343,1.036
u0_raw[118],-0.738,0.105,-0.945,-0.546,0.009,0.004,133.547,266.942,1.028
u0_raw[119],-0.848,0.106,-1.051,-0.654,0.009,0.004,128.795,282.936,1.029
u0_raw[120],0.942,0.116,0.73,1.169,0.011,0.004,112.728,256.009,1.034
u0_raw[121],-0.873,0.107,-1.065,-0.665,0.009,0.004,131.243,337.122,1.029
u0_raw[122],-1.195,0.11,-1.411,-1.001,0.01,0.005,117.03,236.446,1.032
u0_raw[123],-0.685,0.115,-0.896,-0.465,0.009,0.004,168.605,412.926,1.021
u0_raw[124],1.088,0.12,0.86,1.309,0.011,0.004,111.689,257.633,1.036
u0_raw[125],-0.274,0.099,-0.455,-0.084,0.009,0.004,114.6,235.689,1.03
u0_raw[126],0.066,0.104,-0.132,0.26,0.009,0.004,121.863,265.158,1.029
u0_raw[127],1.663,0.144,1.404,1.933,0.013,0.006,118.047,268.666,1.035
u0_raw[128],1.088,0.121,0.873,1.325,0.011,0.004,119.076,277.838,1.032
u0_raw[129],1.474,0.135,1.219,1.722,0.012,0.005,118.261,261.911,1.035
u0_raw[130],0.593,0.276,0.067,1.1,0.008,0.003,1317.06,4028.938,1.003
u0_raw[131],-0.587,0.723,-1.885,0.796,0.007,0.009,9590.079,5779.433,1.002
u0_raw[132],2.176,0.167,1.84,2.466,0.015,0.007,121.069,328.638,1.034
u0_raw[133],1.294,0.136,1.044,1.551,0.012,0.004,132.788,357.987,1.028
u0_raw[134],-0.356,0.1,-0.544,-0.168,0.009,0.004,113.744,244.304,1.031
u0_raw[135],1.521,0.136,1.27,1.774,0.013,0.005,117.22,299.292,1.035
u0_raw[136],-0.038,0.088,-0.2,0.127,0.009,0.004,86.239,147.457,1.041
u0_raw[137],-1.434,0.128,-1.686,-1.202,0.011,0.005,140.922,359.355,1.025
u0_raw[138],-0.671,0.153,-0.978,-0.398,0.009,0.003,310.724,858.869,1.011
u0_raw[139],2.139,0.166,1.812,2.43,0.015,0.007,122.813,360.793,1.034
u0_raw[140],-1.128,0.318,-1.708,-0.51,0.008,0.004,1634.408,4433.187,1.003
u0_raw[141],-0.103,0.108,-0.302,0.104,0.009,0.003,133.273,290.572,1.026
u0_raw[142],1.223,0.126,0.979,1.451,0.012,0.005,119.628,254.393,1.033
u0_raw[143],1.943,0.155,1.658,2.236,0.014,0.006,117.259,313.148,1.035
u0_raw[144],-0.776,0.107,-0.978,-0.577,0.009,0.005,135.961,270.829,1.027
u0_raw[145],-0.934,0.11,-1.153,-0.737,0.01,0.005,131.284,297.078,1.028
u0_raw[146],0.183,0.099,-0.001,0.368,0.01,0.004,106.69,244.851,1.031
u0_raw[147],1.293,0.121,1.059,1.508,0.012,0.005,104.477,237.247,1.039
u0_raw[148],-0.643,0.107,-0.845,-0.438,0.01,0.004,121.761,272.88,1.03
u0_raw[149],-0.167,0.1,-0.355,0.02,0.009,0.004,114.808,218.821,1.029
u0_raw[150],-0.346,0.092,-0.513,-0.168,0.009,0.004,99.266,205.404,1.035
u0_raw[151],-0.34,0.099,-0.523,-0.154,0.009,0.004,110.425,241.889,1.031
u0_raw[152],0.63,0.107,0.42,0.819,0.01,0.004,110.69,238.198,1.032
u0_raw[153],0.652,0.72,-0.747,1.963,0.007,0.009,10830.572,6104.562,1.0
u0_raw[154],-1.36,0.117,-1.589,-1.148,0.011,0.005,123.391,254.146,1.031
u0_raw[155],-1.011,0.112,-1.231,-0.81,0.01,0.005,133.339,294.084,1.03
u0_raw[156],-0.003,0.099,-0.184,0.188,0.01,0.004,107.57,225.291,1.033
u0_raw[157],-1.067,0.112,-1.281,-0.86,0.01,0.005,132.221,336.539,1.029
u0_raw[158],2.891,0.2,2.501,3.244,0.018,0.009,119.634,296.988,1.034
u0_raw[159],1.77,0.147,1.491,2.034,0.014,0.006,116.939,270.793,1.036
u0_raw[160],0.94,0.116,0.729,1.162,0.011,0.004,112.276,258.195,1.035
u0_raw[161],-0.063,0.206,-0.44,0.337,0.008,0.003,660.993,1693.985,1.004
u0_raw[162],-0.558,0.108,-0.767,-0.364,0.009,0.004,138.263,321.932,1.022
u0_raw[163],-0.521,0.101,-0.718,-0.341,0.009,0.004,116.288,229.072,1.031
u0_raw[164],-0.386,0.12,-0.617,-0.167,0.009,0.004,169.322,491.928,1.021
u0_raw[165],-1.216,0.112,-1.431,-1.012,0.01,0.005,120.081,278.926,1.033
u0_raw[166],1.714,0.149,1.437,1.996,0.013,0.006,125.427,351.96,1.033
u0_raw[167],1.067,0.119,0.836,1.278,0.011,0.005,111.691,263.733,1.036
u0_raw[168],-0.396,0.1,-0.586,-0.214,0.009,0.004,116.398,237.704,1.031
u0_raw[169],0.305,0.101,0.12,0.5,0.01,0.004,107.086,269.91,1.034
u0_raw[170],0.19,0.099,0.001,0.372,0.01,0.004,106.243,208.668,1.033
u0_raw[171],-0.135,0.1,-0.325,0.049,0.009,0.004,115.235,291.915,1.031
u0_raw[172],0.292,0.097,0.111,0.474,0.01,0.004,99.037,189.805,1.034
u0_raw[173],-0.894,0.116,-1.117,-0.684,0.009,0.004,150.319,358.588,1.026
u0_raw[174],1.358,0.13,1.11,1.6,0.012,0.005,116.994,283.617,1.035
u0_raw[175],-0.675,0.104,-0.874,-0.484,0.009,0.005,120.089,266.004,1.029
u0_raw[176],0.024,0.106,-0.181,0.213,0.01,0.004,124.384,299.199,1.026
u0_raw[177],-0.176,0.167,-0.479,0.149,0.008,0.002,404.186,1357.343,1.009
u0_raw[178],1.595,0.14,1.33,1.855,0.013,0.006,117.991,252.745,1.033
u_slope_raw_gpt2_surprisal[0],-0.427,0.799,-1.916,1.068,0.008,0.009,9369.185,6048.132,1.0
u_slope_raw_gpt2_surprisal[1],0.59,0.666,-0.68,1.814,0.006,0.008,12514.11,5629.835,1.001
u_slope_raw_gpt2_surprisal[2],0.255,0.733,-1.129,1.628,0.007,0.01,10377.146,6028.858,1.0
u_slope_raw_gpt2_surprisal[3],-0.859,0.824,-2.473,0.655,0.008,0.01,10661.325,5467.988,1.0
u_slope_raw_gpt2_surprisal[4],-0.461,0.787,-1.927,1.037,0.008,0.009,10333.981,5641.525,1.0
u_slope_raw_gpt2_surprisal[5],-0.022,0.796,-1.433,1.525,0.008,0.009,9813.81,6493.658,1.0
u_slope_raw_gpt2_surprisal[6],-0.008,0.95,-1.859,1.73,0.009,0.011,12028.682,5831.47,1.001
u_slope_raw_gpt2_surprisal[7],-0.375,0.709,-1.705,0.927,0.007,0.008,11378.602,6010.41,1.001
u_slope_raw_gpt2_surprisal[8],-1.006,0.815,-2.509,0.554,0.008,0.01,10467.939,5950.061,1.0
u_slope_raw_gpt2_surprisal[9],0.143,0.979,-1.648,1.997,0.009,0.012,11645.016,5911.001,1.0
u_slope_raw_gpt2_surprisal[10],-0.096,0.805,-1.651,1.407,0.008,0.01,9040.151,5659.71,1.001
u_slope_raw_gpt2_surprisal[11],-0.479,0.82,-2.002,1.053,0.008,0.01,11909.666,5752.821,1.0
u_slope_raw_gpt2_surprisal[12],0.232,0.733,-1.132,1.635,0.007,0.008,10788.935,5929.661,1.001
u_slope_raw_gpt2_surprisal[13],-0.138,0.971,-1.915,1.73,0.009,0.011,12512.965,5720.444,1.0
u_slope_raw_gpt2_surprisal[14],0.103,0.726,-1.232,1.472,0.007,0.008,11423.382,5779.183,1.0
u_slope_raw_gpt2_surprisal[15],-0.301,0.838,-1.885,1.25,0.008,0.01,11513.01,5918.969,1.0
u_slope_raw_gpt2_surprisal[16],-0.578,0.851,-2.16,1.015,0.009,0.009,9779.986,5938.424,1.001
u_slope_raw_gpt2_surprisal[17],-0.259,0.793,-1.735,1.257,0.007,0.009,12423.351,6115.087,1.0
u_slope_raw_gpt2_surprisal[18],0.195,1.003,-1.662,2.091,0.009,0.011,11951.921,6406.101,1.0
u_slope_raw_gpt2_surprisal[19],-0.032,0.714,-1.378,1.294,0.007,0.008,9926.212,6171.887,1.0
u_slope_raw_gpt2_surprisal[20],0.135,0.819,-1.389,1.707,0.008,0.009,10529.318,6005.136,1.001
u_slope_raw_gpt2_surprisal[21],-0.472,0.756,-2.003,0.869,0.007,0.01,10879.621,4964.979,1.0
u_slope_raw_gpt2_surprisal[22],0.081,0.81,-1.477,1.537,0.008,0.01,10165.177,6020.124,1.0
u_slope_raw_gpt2_surprisal[23],0.102,0.752,-1.254,1.587,0.007,0.009,11454.055,6197.94,1.001
u_slope_raw_gpt2_surprisal[24],-0.091,0.811,-1.59,1.429,0.007,0.01,12398.584,5884.13,1.001
