,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[65],-0.286,0.097,-0.463,-0.1,0.01,0.003,94.375,257.762,1.036
u0_raw[66],0.897,0.108,0.701,1.102,0.012,0.003,84.745,279.184,1.03
u0_raw[67],-0.57,0.107,-0.78,-0.378,0.01,0.003,112.076,433.915,1.028
u0_raw[68],0.913,0.097,0.738,1.095,0.012,0.004,65.881,183.236,1.039
u0_raw[69],-0.54,0.158,-0.845,-0.253,0.01,0.002,260.515,1099.182,1.013
u0_raw[70],-1.769,0.14,-2.042,-1.518,0.013,0.005,110.22,279.394,1.021
u0_raw[71],1.348,0.118,1.121,1.561,0.013,0.004,87.72,378.626,1.032
u0_raw[72],-0.659,0.104,-0.853,-0.466,0.01,0.004,100.81,301.309,1.031
u0_raw[73],-0.802,0.101,-0.984,-0.608,0.011,0.004,92.298,292.215,1.033
u0_raw[74],-0.87,0.101,-1.059,-0.681,0.011,0.004,88.477,297.853,1.033
u0_raw[75],0.442,0.124,0.213,0.672,0.011,0.003,116.762,499.811,1.023
u0_raw[76],0.962,0.108,0.751,1.156,0.012,0.004,78.781,240.359,1.032
u0_raw[77],-0.557,0.106,-0.76,-0.362,0.01,0.003,108.435,443.058,1.031
u0_raw[78],0.04,0.098,-0.146,0.22,0.011,0.003,81.99,216.78,1.034
u0_raw[79],0.493,0.102,0.302,0.683,0.011,0.003,83.399,238.989,1.03
u0_raw[80],0.446,0.098,0.261,0.622,0.011,0.004,74.707,202.823,1.035
u0_raw[81],0.002,0.097,-0.172,0.193,0.01,0.004,85.538,197.063,1.032
u0_raw[82],-1.036,0.114,-1.24,-0.812,0.011,0.004,105.259,354.124,1.026
u0_raw[83],-0.027,0.088,-0.189,0.136,0.011,0.004,64.356,133.144,1.043
u0_raw[84],-0.148,0.088,-0.311,0.012,0.01,0.004,72.839,124.523,1.044
u0_raw[85],1.136,0.113,0.916,1.334,0.012,0.004,85.312,279.794,1.031
u0_raw[86],-1.634,0.138,-1.907,-1.388,0.013,0.005,111.808,352.954,1.022
u0_raw[87],-0.244,0.098,-0.428,-0.062,0.01,0.003,95.774,289.685,1.032
u0_raw[88],-1.066,0.116,-1.291,-0.858,0.011,0.004,105.916,337.929,1.027
u0_raw[89],1.012,0.519,0.015,1.974,0.006,0.005,7032.481,6168.376,1.001
u0_raw[90],0.652,0.105,0.463,0.856,0.012,0.003,76.773,218.72,1.033
u0_raw[91],0.567,0.099,0.378,0.746,0.012,0.004,70.559,170.063,1.036
u0_raw[92],0.555,0.102,0.36,0.742,0.012,0.003,76.407,203.116,1.034
u0_raw[93],1.387,0.12,1.162,1.611,0.013,0.004,82.337,289.372,1.032
u0_raw[94],0.2,0.167,-0.128,0.506,0.009,0.002,318.337,1780.202,1.011
u0_raw[95],-1.543,0.133,-1.79,-1.286,0.013,0.005,110.435,319.157,1.023
u0_raw[96],-1.352,0.126,-1.589,-1.11,0.012,0.004,107.083,351.168,1.024
u0_raw[97],1.193,0.113,0.99,1.411,0.013,0.004,80.994,263.759,1.03
u0_raw[98],0.488,0.101,0.302,0.673,0.012,0.004,73.978,198.128,1.036
u0_raw[99],0.318,0.096,0.137,0.495,0.011,0.004,74.688,136.903,1.036
u0_raw[100],0.575,0.101,0.39,0.768,0.012,0.004,72.241,170.354,1.037
u0_raw[101],-0.191,0.135,-0.437,0.067,0.009,0.003,206.964,877.659,1.015
u0_raw[102],-0.255,0.101,-0.442,-0.065,0.01,0.003,99.039,257.543,1.032
u0_raw[103],-0.95,0.118,-1.161,-0.724,0.011,0.004,115.383,405.045,1.024
u0_raw[104],-0.166,0.09,-0.328,0.005,0.01,0.004,76.769,157.292,1.043
u0_raw[105],-1.096,0.117,-1.31,-0.876,0.011,0.004,106.759,460.818,1.027
u0_raw[106],-0.122,0.116,-0.34,0.089,0.01,0.003,131.127,349.296,1.024
u0_raw[107],-2.035,0.179,-2.362,-1.691,0.014,0.005,159.44,556.844,1.015
u0_raw[108],0.244,0.097,0.07,0.434,0.011,0.004,76.601,206.952,1.035
u0_raw[109],0.204,0.101,0.02,0.397,0.011,0.003,81.285,249.688,1.033
u0_raw[110],-0.312,0.099,-0.506,-0.135,0.01,0.004,95.679,268.064,1.033
