,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[164],-0.217,0.128,-0.452,0.029,0.016,0.002,64.659,522.577,1.049
u0_raw[165],-1.106,0.108,-1.31,-0.908,0.019,0.005,33.211,102.087,1.089
u0_raw[166],1.733,0.14,1.474,2.003,0.02,0.006,50.456,254.898,1.06
u0_raw[167],1.043,0.111,0.836,1.249,0.018,0.005,37.02,212.212,1.077
u0_raw[168],-0.424,0.097,-0.602,-0.242,0.018,0.003,28.696,129.382,1.096
u0_raw[169],0.304,0.093,0.131,0.482,0.018,0.004,28.296,178.363,1.097
u0_raw[170],0.212,0.097,0.033,0.39,0.018,0.003,30.23,207.093,1.091
u0_raw[171],-0.16,0.099,-0.352,0.02,0.017,0.003,32.214,138.136,1.086
u0_raw[172],0.18,0.094,0.001,0.351,0.017,0.003,31.478,196.158,1.09
u0_raw[173],-1.004,0.116,-1.218,-0.778,0.019,0.004,36.69,109.322,1.076
u0_raw[174],1.314,0.123,1.088,1.557,0.019,0.005,44.058,208.594,1.066
u0_raw[175],-0.774,0.104,-0.969,-0.577,0.018,0.004,31.856,104.08,1.087
u0_raw[176],-0.003,0.097,-0.188,0.176,0.018,0.003,29.426,126.369,1.092
u0_raw[177],-0.253,0.179,-0.593,0.074,0.015,0.002,151.075,1861.502,1.022
u0_raw[178],1.366,0.121,1.134,1.593,0.019,0.005,42.522,212.186,1.069
sigma_u0,0.237,0.014,0.212,0.264,0.001,0.0,114.59,376.273,1.038
sigma_eps,0.256,0.001,0.254,0.257,0.0,0.0,8773.666,5888.555,1.0
u0[0],-0.173,0.023,-0.213,-0.129,0.004,0.001,27.52,137.141,1.1
u0[1],-0.049,0.02,-0.085,-0.012,0.004,0.001,22.0,105.074,1.129
u0[2],-0.215,0.022,-0.255,-0.173,0.004,0.001,26.66,136.406,1.103
u0[3],-0.264,0.023,-0.308,-0.219,0.004,0.001,33.499,128.621,1.082
u0[4],-0.41,0.022,-0.451,-0.369,0.004,0.001,26.678,145.211,1.103
u0[5],0.21,0.022,0.169,0.251,0.004,0.001,26.448,141.787,1.104
u0[6],0.264,0.036,0.195,0.33,0.004,0.0,85.714,921.122,1.033
u0[7],0.054,0.022,0.011,0.094,0.004,0.001,28.045,114.289,1.099
u0[8],0.187,0.022,0.147,0.229,0.004,0.001,26.363,92.108,1.105
u0[9],-0.097,0.054,-0.195,0.006,0.003,0.001,272.145,4564.548,1.014
u0[10],-0.147,0.023,-0.191,-0.105,0.004,0.001,29.716,125.458,1.09
u0[11],-0.037,0.022,-0.077,0.006,0.004,0.001,27.212,134.787,1.101
u0[12],0.095,0.022,0.054,0.135,0.004,0.001,27.266,125.527,1.101
u0[13],0.463,0.036,0.396,0.532,0.004,0.0,89.634,1262.379,1.03
u0[14],0.025,0.023,-0.018,0.069,0.004,0.001,30.109,330.825,1.09
u0[15],-0.419,0.024,-0.463,-0.374,0.004,0.001,29.312,105.924,1.092
u0[16],-0.008,0.025,-0.054,0.04,0.004,0.001,36.587,174.34,1.073
u0[17],0.137,0.022,0.094,0.177,0.004,0.001,29.369,210.798,1.097
u0[18],-0.359,0.126,-0.597,-0.124,0.002,0.001,5720.106,5483.091,1.001
u0[19],-0.216,0.023,-0.257,-0.173,0.004,0.001,28.179,143.691,1.096
u0[20],-0.11,0.023,-0.152,-0.067,0.004,0.001,27.282,157.17,1.099
u0[21],-0.023,0.023,-0.063,0.023,0.004,0.001,29.86,210.531,1.092
u0[22],0.21,0.022,0.171,0.252,0.004,0.001,27.821,177.699,1.099
u0[23],-0.249,0.022,-0.29,-0.206,0.004,0.001,30.815,258.26,1.089
u0[24],-0.406,0.022,-0.446,-0.362,0.004,0.001,26.622,168.79,1.098
u0[25],0.277,0.022,0.235,0.318,0.004,0.001,27.367,163.409,1.101
u0[26],0.308,0.022,0.267,0.349,0.004,0.001,27.024,108.569,1.104
u0[27],-0.135,0.03,-0.19,-0.077,0.004,0.001,68.462,425.265,1.044
u0[28],-0.033,0.022,-0.072,0.011,0.004,0.001,27.391,180.807,1.099
u0[29],0.149,0.022,0.109,0.193,0.004,0.001,28.59,143.159,1.097
u0[30],0.214,0.022,0.171,0.253,0.004,0.001,28.783,239.933,1.1
u0[31],0.139,0.024,0.096,0.186,0.004,0.001,30.839,196.243,1.085
u0[32],-0.056,0.023,-0.102,-0.012,0.004,0.001,31.4,162.108,1.085
u0[33],-0.185,0.022,-0.227,-0.144,0.004,0.001,26.323,110.758,1.104
u0[34],0.104,0.022,0.064,0.148,0.004,0.001,26.107,121.07,1.103
u0[35],0.075,0.02,0.039,0.113,0.004,0.001,21.265,156.492,1.133
u0[36],-0.19,0.023,-0.234,-0.149,0.004,0.001,28.46,138.632,1.095
u0[37],0.216,0.022,0.175,0.258,0.004,0.001,27.13,119.051,1.1
u0[38],-0.162,0.022,-0.205,-0.119,0.004,0.001,27.822,114.604,1.097
u0[39],0.008,0.022,-0.034,0.05,0.004,0.001,27.754,191.805,1.098
u0[40],-0.265,0.104,-0.453,-0.066,0.001,0.001,5005.829,5340.449,1.004
u0[41],-0.049,0.025,-0.093,-0.001,0.004,0.001,36.162,238.8,1.075
u0[42],0.065,0.022,0.023,0.106,0.004,0.001,27.173,165.94,1.103
u0[43],-0.07,0.024,-0.115,-0.026,0.004,0.001,31.879,128.061,1.086
u0[44],0.08,0.022,0.038,0.121,0.004,0.001,28.097,183.781,1.098
u0[45],-0.147,0.024,-0.191,-0.101,0.004,0.001,33.173,127.504,1.084
u0[46],-0.412,0.023,-0.455,-0.368,0.004,0.001,27.122,142.11,1.102
u0[47],0.066,0.022,0.025,0.11,0.004,0.001,28.486,149.358,1.097
u0[48],-0.412,0.023,-0.456,-0.369,0.004,0.001,29.596,148.052,1.092
u0[49],0.418,0.023,0.375,0.462,0.004,0.001,30.091,168.697,1.091
u0[50],-0.059,0.024,-0.105,-0.015,0.004,0.001,31.385,177.463,1.086
u0[51],-0.231,0.023,-0.274,-0.187,0.004,0.001,31.43,137.89,1.089
u0[52],-0.047,0.023,-0.088,-0.004,0.004,0.001,28.324,172.356,1.099
u0[53],0.021,0.023,-0.022,0.063,0.004,0.001,29.58,154.667,1.092
u0[54],0.053,0.034,-0.008,0.12,0.004,0.0,69.354,565.814,1.04
u0[55],0.384,0.022,0.344,0.427,0.004,0.001,27.634,226.205,1.098
u0[56],-0.15,0.023,-0.194,-0.108,0.004,0.001,28.426,185.674,1.099
u0[57],0.32,0.023,0.277,0.363,0.004,0.001,29.852,185.747,1.091
u0[58],-0.448,0.146,-0.717,-0.173,0.002,0.002,4707.503,5460.034,1.001
u0[59],-0.058,0.022,-0.099,-0.016,0.004,0.001,27.055,153.659,1.1
u0[60],-0.02,0.023,-0.064,0.02,0.004,0.001,27.099,130.101,1.101
u0[61],-0.438,0.174,-0.771,-0.117,0.002,0.002,4900.725,6012.607,1.002
u0[62],-0.318,0.024,-0.365,-0.275,0.004,0.001,32.091,189.852,1.083
u0[63],-0.167,0.022,-0.209,-0.124,0.004,0.001,27.619,123.906,1.097
u0[64],-0.23,0.022,-0.271,-0.188,0.004,0.001,27.569,122.614,1.099
u0[65],-0.056,0.022,-0.096,-0.013,0.004,0.001,28.451,184.436,1.098
u0[66],0.211,0.023,0.166,0.252,0.004,0.001,30.094,163.375,1.092
u0[67],-0.123,0.024,-0.17,-0.079,0.004,0.001,32.676,229.577,1.084
u0[68],0.224,0.02,0.186,0.261,0.004,0.001,21.224,132.755,1.133
u0[69],-0.116,0.037,-0.182,-0.043,0.003,0.001,111.939,865.252,1.029
u0[70],-0.419,0.022,-0.46,-0.377,0.004,0.001,28.515,121.42,1.097
u0[71],0.319,0.023,0.275,0.36,0.004,0.001,28.249,132.565,1.096
u0[72],-0.149,0.022,-0.189,-0.107,0.004,0.001,25.433,136.319,1.108
u0[73],-0.203,0.021,-0.241,-0.163,0.004,0.001,23.132,128.596,1.121
u0[74],-0.186,0.02,-0.221,-0.148,0.004,0.001,21.345,119.324,1.132
u0[75],0.121,0.029,0.067,0.175,0.004,0.001,45.579,204.035,1.058
u0[76],0.245,0.022,0.207,0.288,0.004,0.001,27.229,141.766,1.101
u0[77],-0.162,0.024,-0.205,-0.114,0.004,0.001,31.254,232.341,1.085
u0[78],0.005,0.023,-0.039,0.047,0.004,0.001,31.599,126.029,1.091
u0[79],0.12,0.024,0.078,0.166,0.004,0.001,29.664,181.007,1.088
u0[80],0.083,0.022,0.041,0.124,0.004,0.001,28.688,152.282,1.096
u0[81],0.015,0.022,-0.027,0.056,0.004,0.001,27.879,96.265,1.097
u0[82],-0.251,0.023,-0.292,-0.207,0.004,0.001,29.486,182.274,1.092
