,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0_raw[65],-0.214,0.1,-0.392,-0.015,0.008,0.003,146.061,427.249,1.02
u0_raw[66],0.99,0.112,0.788,1.213,0.008,0.003,197.63,513.958,1.008
u0_raw[67],-0.437,0.108,-0.639,-0.232,0.009,0.002,154.398,606.98,1.021
u0_raw[68],0.897,0.101,0.714,1.091,0.008,0.003,165.755,332.12,1.01
u0_raw[69],-0.059,0.163,-0.38,0.231,0.008,0.002,454.292,2111.898,1.006
u0_raw[70],-1.67,0.138,-1.913,-1.395,0.011,0.003,165.864,658.523,1.03
u0_raw[71],1.34,0.12,1.107,1.559,0.008,0.004,208.306,539.419,1.006
u0_raw[72],-0.799,0.112,-1.01,-0.587,0.009,0.003,155.569,590.536,1.024
u0_raw[73],-0.657,0.1,-0.839,-0.463,0.009,0.003,120.033,525.653,1.03
u0_raw[74],-0.847,0.103,-1.034,-0.646,0.009,0.003,123.465,618.054,1.033
u0_raw[75],0.492,0.123,0.264,0.724,0.008,0.002,256.786,928.25,1.008
u0_raw[76],0.987,0.113,0.774,1.197,0.008,0.003,206.086,580.31,1.007
u0_raw[77],-0.492,0.107,-0.698,-0.298,0.009,0.003,147.9,462.18,1.023
u0_raw[78],-0.024,0.105,-0.211,0.176,0.008,0.002,170.54,505.603,1.016
u0_raw[79],0.496,0.106,0.3,0.694,0.008,0.002,183.259,612.854,1.012
u0_raw[80],0.479,0.102,0.281,0.666,0.008,0.003,169.509,497.898,1.013
u0_raw[81],-0.008,0.099,-0.187,0.182,0.008,0.002,147.272,480.142,1.018
u0_raw[82],-0.929,0.113,-1.138,-0.716,0.01,0.003,140.269,596.867,1.03
u0_raw[83],-0.028,0.089,-0.193,0.14,0.008,0.003,115.649,327.072,1.026
u0_raw[84],-0.147,0.09,-0.313,0.025,0.008,0.003,119.36,271.086,1.025
u0_raw[85],1.169,0.117,0.943,1.379,0.008,0.004,215.906,538.616,1.006
u0_raw[86],-1.625,0.139,-1.883,-1.365,0.011,0.003,174.904,633.791,1.028
u0_raw[87],-0.257,0.102,-0.446,-0.069,0.008,0.003,147.622,451.379,1.021
u0_raw[88],-1.043,0.115,-1.257,-0.829,0.009,0.003,150.537,660.072,1.029
u0_raw[89],0.503,0.101,0.32,0.696,0.008,0.003,167.926,430.617,1.013
u0_raw[90],0.675,0.106,0.474,0.869,0.008,0.003,190.591,415.802,1.009
u0_raw[91],0.564,0.101,0.374,0.752,0.008,0.003,167.992,500.428,1.011
u0_raw[92],1.338,0.121,1.115,1.569,0.008,0.004,219.493,641.902,1.006
u0_raw[93],0.267,0.192,-0.097,0.623,0.007,0.002,828.727,2515.234,1.003
u0_raw[94],-1.478,0.13,-1.712,-1.231,0.01,0.003,154.944,589.559,1.029
u0_raw[95],-1.33,0.125,-1.562,-1.096,0.01,0.003,161.377,559.925,1.027
u0_raw[96],1.196,0.118,0.975,1.415,0.008,0.003,208.947,601.93,1.008
u0_raw[97],0.442,0.102,0.258,0.641,0.008,0.003,165.136,488.089,1.013
u0_raw[98],0.21,0.099,0.039,0.406,0.008,0.003,151.83,490.269,1.016
u0_raw[99],0.633,0.104,0.437,0.825,0.008,0.003,183.014,468.005,1.012
u0_raw[100],-0.321,0.15,-0.607,-0.044,0.008,0.002,376.974,1294.029,1.008
u0_raw[101],-0.279,0.101,-0.465,-0.089,0.009,0.002,136.095,471.504,1.025
u0_raw[102],-1.098,0.122,-1.32,-0.865,0.01,0.003,160.281,721.264,1.029
u0_raw[103],-0.071,0.093,-0.24,0.105,0.008,0.003,127.274,346.362,1.023
u0_raw[104],-1.089,0.118,-1.312,-0.871,0.01,0.003,146.036,583.153,1.031
u0_raw[105],-0.072,0.12,-0.298,0.154,0.008,0.002,214.553,676.971,1.012
u0_raw[106],-1.934,0.176,-2.276,-1.614,0.011,0.003,261.966,1068.89,1.02
u0_raw[107],0.273,0.102,0.088,0.465,0.008,0.003,159.368,480.572,1.014
u0_raw[108],0.255,0.101,0.063,0.443,0.008,0.002,159.906,503.846,1.016
u0_raw[109],-0.23,0.102,-0.424,-0.042,0.009,0.002,140.414,460.338,1.02
u0_raw[110],1.638,0.125,1.405,1.869,0.009,0.005,210.002,482.429,1.005
u0_raw[111],-0.739,0.119,-0.966,-0.521,0.009,0.002,165.781,567.515,1.022
u0_raw[112],0.737,0.105,0.537,0.93,0.008,0.003,183.944,479.058,1.01
u0_raw[113],0.862,0.106,0.661,1.065,0.008,0.003,180.723,396.148,1.009
u0_raw[114],2.021,0.147,1.732,2.284,0.009,0.005,248.085,523.899,1.004
u0_raw[115],0.111,0.098,-0.07,0.298,0.008,0.003,152.668,478.415,1.017
u0_raw[116],1.194,0.111,0.985,1.397,0.008,0.004,190.802,505.56,1.007
u0_raw[117],0.648,0.105,0.447,0.842,0.008,0.003,181.521,568.019,1.011
u0_raw[118],-0.738,0.109,-0.931,-0.522,0.009,0.003,149.265,649.859,1.026
u0_raw[119],-0.853,0.111,-1.056,-0.638,0.009,0.003,145.086,651.103,1.027
u0_raw[120],0.958,0.111,0.752,1.171,0.008,0.003,205.533,584.279,1.008
u0_raw[121],-0.879,0.111,-1.074,-0.66,0.009,0.003,144.431,612.206,1.028
u0_raw[122],-1.209,0.113,-1.422,-0.996,0.01,0.003,130.974,492.87,1.034
u0_raw[123],-0.674,0.119,-0.885,-0.441,0.009,0.002,179.002,969.114,1.023
u0_raw[124],1.114,0.114,0.907,1.332,0.008,0.004,211.194,505.256,1.006
u0_raw[125],-0.278,0.103,-0.469,-0.087,0.008,0.002,150.264,563.449,1.022
u0_raw[126],0.066,0.108,-0.13,0.268,0.008,0.002,167.998,496.328,1.015
u0_raw[127],1.698,0.134,1.458,1.956,0.009,0.004,235.252,562.078,1.005
u0_raw[128],1.104,0.114,0.901,1.323,0.008,0.003,206.452,569.321,1.007
u0_raw[129],1.502,0.126,1.265,1.733,0.008,0.004,228.432,529.193,1.004
u0_raw[130],0.656,0.27,0.146,1.16,0.007,0.003,1701.136,4077.469,1.002
u0_raw[131],-0.572,0.712,-1.892,0.747,0.006,0.009,12733.019,6017.616,1.002
u0_raw[132],2.207,0.155,1.918,2.493,0.01,0.005,253.979,557.323,1.004
u0_raw[133],1.309,0.128,1.067,1.549,0.008,0.003,244.742,739.128,1.004
u0_raw[134],-0.358,0.103,-0.552,-0.171,0.009,0.002,136.45,742.576,1.026
u0_raw[135],1.543,0.127,1.318,1.784,0.009,0.004,216.55,559.668,1.006
u0_raw[136],-0.037,0.09,-0.208,0.129,0.008,0.003,123.007,314.806,1.021
u0_raw[137],-1.454,0.132,-1.689,-1.194,0.01,0.003,169.645,544.241,1.026
u0_raw[138],-0.661,0.158,-0.952,-0.369,0.009,0.002,334.276,1817.712,1.011
u0_raw[139],2.175,0.153,1.884,2.458,0.01,0.005,253.871,551.404,1.004
u0_raw[140],-1.145,0.318,-1.72,-0.533,0.007,0.004,1974.189,3781.329,1.004
u0_raw[141],-0.103,0.111,-0.307,0.108,0.008,0.002,190.233,733.796,1.014
u0_raw[142],1.238,0.119,1.005,1.453,0.008,0.004,209.377,531.474,1.006
u0_raw[143],1.975,0.143,1.714,2.244,0.009,0.005,240.931,491.92,1.004
u0_raw[144],-0.788,0.112,-0.997,-0.581,0.009,0.003,151.159,605.509,1.027
u0_raw[145],-0.941,0.113,-1.158,-0.738,0.01,0.003,133.194,590.409,1.031
u0_raw[146],0.191,0.101,0.004,0.377,0.008,0.002,157.782,525.125,1.016
u0_raw[147],1.319,0.113,1.107,1.525,0.008,0.004,192.656,444.103,1.007
u0_raw[148],-0.647,0.112,-0.854,-0.435,0.009,0.002,153.408,586.529,1.024
u0_raw[149],-0.163,0.104,-0.355,0.035,0.008,0.003,150.726,445.788,1.021
u0_raw[150],-0.345,0.096,-0.523,-0.163,0.009,0.003,122.519,374.254,1.025
u0_raw[151],-0.344,0.102,-0.539,-0.157,0.008,0.002,143.744,542.619,1.021
u0_raw[152],0.651,0.104,0.458,0.85,0.008,0.003,183.605,438.99,1.011
u0_raw[153],0.662,0.725,-0.774,1.962,0.006,0.009,12463.266,5573.961,1.001
u0_raw[154],-1.378,0.119,-1.597,-1.157,0.01,0.003,137.013,525.093,1.033
u0_raw[155],-1.028,0.115,-1.239,-0.806,0.01,0.003,140.621,588.797,1.03
u0_raw[156],0.003,0.102,-0.183,0.192,0.008,0.002,149.737,467.883,1.019
u0_raw[157],-1.084,0.117,-1.297,-0.863,0.01,0.003,144.995,605.616,1.031
u0_raw[158],2.934,0.18,2.609,3.277,0.011,0.006,256.232,524.548,1.005
u0_raw[159],1.798,0.135,1.537,2.041,0.009,0.004,229.549,500.152,1.005
u0_raw[160],0.96,0.112,0.762,1.18,0.008,0.003,205.443,564.307,1.007
u0_raw[161],-0.064,0.205,-0.439,0.332,0.007,0.003,793.375,2401.468,1.003
u0_raw[162],-0.552,0.111,-0.761,-0.345,0.009,0.002,162.013,897.323,1.021
u0_raw[163],-0.518,0.105,-0.721,-0.327,0.009,0.003,138.241,509.816,1.026
u0_raw[164],-0.377,0.123,-0.604,-0.146,0.008,0.002,214.909,1053.258,1.014
u0_raw[165],-1.23,0.115,-1.44,-1.009,0.01,0.003,132.229,558.792,1.033
u0_raw[166],1.742,0.14,1.478,1.99,0.009,0.004,249.477,573.214,1.004
u0_raw[167],1.088,0.113,0.88,1.302,0.008,0.003,202.204,535.469,1.007
u0_raw[168],-0.401,0.103,-0.595,-0.21,0.009,0.002,143.339,709.287,1.024
u0_raw[169],0.307,0.102,0.105,0.488,0.008,0.002,165.268,501.186,1.016
u0_raw[170],0.195,0.099,0.008,0.383,0.008,0.002,154.878,391.496,1.016
u0_raw[171],-0.126,0.103,-0.314,0.07,0.008,0.002,155.412,612.668,1.02
u0_raw[172],0.299,0.098,0.116,0.483,0.008,0.003,153.009,335.569,1.016
u0_raw[173],-0.901,0.119,-1.123,-0.675,0.009,0.003,168.426,812.297,1.024
