,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u_slope_integration_cost[7],-0.001,0.003,-0.007,0.004,0.0,0.0,6563.99,3052.378,1.001
u_slope_integration_cost[8],-0.0,0.003,-0.006,0.006,0.0,0.0,5888.525,3617.19,1.001
u_slope_integration_cost[9],0.0,0.003,-0.006,0.006,0.0,0.0,6664.499,3073.143,1.0
u_slope_integration_cost[10],-0.0,0.003,-0.007,0.005,0.0,0.0,6125.815,3827.045,1.0
u_slope_integration_cost[11],-0.0,0.003,-0.007,0.005,0.0,0.0,6203.104,3439.142,1.0
u_slope_integration_cost[12],0.0,0.003,-0.005,0.006,0.0,0.0,7341.646,3392.592,1.0
u_slope_integration_cost[13],0.0,0.003,-0.005,0.006,0.0,0.0,5736.059,3474.887,1.0
u_slope_integration_cost[14],0.001,0.003,-0.004,0.008,0.0,0.0,4937.937,3469.63,1.0
u_slope_integration_cost[15],0.001,0.003,-0.004,0.008,0.0,0.0,5823.816,3296.064,1.0
u_slope_integration_cost[16],0.001,0.003,-0.004,0.007,0.0,0.0,6061.498,3645.469,1.001
u_slope_integration_cost[17],-0.001,0.003,-0.007,0.004,0.0,0.0,5306.089,3511.936,1.0
