,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u0[8],-0.123,0.029,-0.176,-0.069,0.002,0.001,366.136,945.75,1.016
u0[9],-0.116,0.03,-0.174,-0.062,0.001,0.001,395.728,987.13,1.015
u0[10],-0.195,0.029,-0.25,-0.139,0.002,0.001,382.941,1035.952,1.014
u0[11],0.06,0.029,0.01,0.121,0.002,0.001,370.417,955.328,1.014
u0[12],0.047,0.029,-0.007,0.102,0.001,0.001,383.694,980.273,1.014
u0[13],-0.064,0.029,-0.121,-0.011,0.001,0.001,402.557,948.12,1.014
u0[14],0.154,0.029,0.099,0.207,0.001,0.001,380.06,841.217,1.014
u0[15],-0.066,0.029,-0.119,-0.01,0.001,0.001,380.062,937.762,1.013
u0[16],0.185,0.029,0.134,0.243,0.002,0.001,366.697,970.835,1.015
u0[17],-0.12,0.029,-0.173,-0.063,0.001,0.001,392.453,912.239,1.014
u_slope_gpt2_surprisal[0],-0.0,0.003,-0.006,0.006,0.0,0.0,7104.664,3126.357,1.002
u_slope_gpt2_surprisal[1],-0.0,0.003,-0.006,0.006,0.0,0.0,6756.781,3343.629,1.002
u_slope_gpt2_surprisal[2],0.001,0.003,-0.005,0.007,0.0,0.0,5285.368,3244.835,1.001
u_slope_gpt2_surprisal[3],-0.002,0.003,-0.008,0.004,0.0,0.0,3967.616,3172.934,1.001
u_slope_gpt2_surprisal[4],-0.001,0.003,-0.007,0.005,0.0,0.0,6801.017,3156.483,1.002
u_slope_gpt2_surprisal[5],-0.001,0.003,-0.008,0.004,0.0,0.0,5478.724,3065.2,1.0
u_slope_gpt2_surprisal[6],0.001,0.003,-0.004,0.008,0.0,0.0,5755.75,3321.385,1.0
u_slope_gpt2_surprisal[7],0.0,0.003,-0.006,0.006,0.0,0.0,7333.363,3482.811,1.001
u_slope_gpt2_surprisal[8],0.0,0.003,-0.006,0.006,0.0,0.0,6923.154,3293.416,1.001
u_slope_gpt2_surprisal[9],-0.0,0.003,-0.006,0.006,0.0,0.0,6476.43,3544.882,1.001
u_slope_gpt2_surprisal[10],-0.001,0.003,-0.009,0.004,0.0,0.0,4612.116,3083.404,1.0
u_slope_gpt2_surprisal[11],0.001,0.003,-0.005,0.007,0.0,0.0,6630.66,3759.447,1.002
u_slope_gpt2_surprisal[12],-0.0,0.003,-0.007,0.005,0.0,0.0,6621.305,3269.427,1.0
u_slope_gpt2_surprisal[13],0.0,0.003,-0.006,0.006,0.0,0.0,5641.677,2903.714,1.001
u_slope_gpt2_surprisal[14],0.001,0.003,-0.005,0.007,0.0,0.0,5188.894,3214.222,1.003
u_slope_gpt2_surprisal[15],0.001,0.003,-0.005,0.008,0.0,0.0,3839.083,3326.574,1.001
u_slope_gpt2_surprisal[16],-0.0,0.003,-0.006,0.005,0.0,0.0,5829.494,3341.179,1.002
u_slope_gpt2_surprisal[17],0.001,0.003,-0.005,0.008,0.0,0.0,6116.172,3600.64,1.0
