,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
u_slope_gpt2_surprisal[7],0.0,0.002,-0.005,0.005,0.0,0.0,6269.522,3229.401,1.002
u_slope_gpt2_surprisal[8],0.001,0.003,-0.004,0.007,0.0,0.0,6353.571,3550.933,1.002
u_slope_gpt2_surprisal[9],-0.0,0.003,-0.005,0.005,0.0,0.0,7213.861,3289.743,1.001
u_slope_gpt2_surprisal[10],-0.001,0.003,-0.007,0.004,0.0,0.0,6132.12,3655.348,1.001
u_slope_gpt2_surprisal[11],-0.0,0.003,-0.006,0.005,0.0,0.0,6510.048,3102.21,1.003
u_slope_gpt2_surprisal[12],0.0,0.003,-0.005,0.006,0.0,0.0,6194.887,3141.88,0.999
u_slope_gpt2_surprisal[13],-0.0,0.003,-0.005,0.006,0.0,0.0,6147.513,3171.368,1.002
u_slope_gpt2_surprisal[14],-0.0,0.002,-0.006,0.004,0.0,0.0,6546.285,3586.011,1.001
u_slope_gpt2_surprisal[15],0.0,0.003,-0.004,0.006,0.0,0.0,6301.508,3459.43,1.0
u_slope_gpt2_surprisal[16],-0.001,0.003,-0.007,0.004,0.0,0.0,5880.831,3916.08,1.001
u_slope_gpt2_surprisal[17],-0.0,0.003,-0.006,0.005,0.0,0.0,6366.376,3703.926,1.0
